Precinct,Fred A. Rangel,Ray Lopez
1072,33,77
1088,14,44
2011,13,105
2012,14,40
2015,9,56
2016,4,45
2017,6,29
2019,16,69
2020,18,113
2021,37,115
2022,16,88
2023,26,131
2024,41,83
2029,4,30
2030,14,54
2032,3,18
2037,133,90
2040,69,180
2041,53,189
2042,21,80
2049,78,186
2050,75,113
2061,33,57
2066,225,256
2069,92,136
2071,2,23
2074,9,23
2076,127,97
2077,124,165
2079,7,14
2084,416,304
2086,150,210
2087,163,153
2089,1,6
2090,39,48
2099,108,94
2103,0,8
2108,111,89
2112,108,139
2126,45,58
2128,18,85
2130,76,99
2139,93,62
2140,41,71
2141,68,76
2143,150,145
2151,0,0
2157,0,0
2159,4,6
3003,11,2
3016,23,16
3023,149,133
3032,51,81
3037,179,159
3054,112,107
3127,123,143
3139,69,90
3147,110,173
3162,46,49
